Point Name,X,Y,Z,LAT
P161,-53.6764,18.2002,152.797,-147
P162,-48.6735,25.7264,143.409,-160
P163,-44.4396,28.1269,134.276,-161
P164,-40.3808,26.7928,124.888,-165
P165,-36.8658,21.5791,116.725,-154
P166,-32.6728,10.0753,160.554,3
P167,-30.3757,19.1151,151.534,-10000
P168,-29.5506,22.5677,141.861,-10000
P169,-30.0852,22.3207,131.573,-166
P170,-32.2949,18.3334,122.384,-155
P171,-35.7752,23.4241,154.313,-136
P172,-35.7972,27.372,141.768,-89
P173,-35.7856,27.1732,131.401,-23
P174,-36.6117,23.903,121.56,-28
P175,-38.4786,18.7996,112.613,-18
P176,-37.2964,44.7306,145.998,-193
P177,-37.5157,39.7636,133.773,-180
P178,-37.6519,33.9899,125.068,-170
P179,-38.9916,26.8294,117.58,-163
P180,-41.7705,19.0922,111.088,-156
P181,-41.9621,8.75998,156.967,-144
P182,-39.2894,20.1698,151.444,-154
P183,-38.2113,26.2837,143.304,-160
P184,-37.2007,27.7484,133.343,-106
P185,-34.874,23.5112,124.586,-172
P186,-34.2424,-0.0133636,156.203,37
P187,-30.0797,11.9898,153.936,-208
P188,-27.9554,19.3021,147.188,-10000
P189,-27.1856,22.6428,137.564,29
P190,-27.5774,21.5412,127.367,-124
P191,-37.019,43.7857,164.832,-174
P192,-36.416,45.1517,151.725,-183
P193,-35.7205,44.1577,141.333,-182
P194,-35.4596,41.6373,131.166,-176
P195,-36.0943,38.4078,121.213,-164
P196,-35.7446,50.2748,159.686,-183
P197,-37.5451,47.8951,146.838,-186
P198,-38.1309,43.9456,137.185,-182
P199,-38.0225,38.1501,128.497,-170
P200,-37.5,30.7149,121.175,-160
P201,-33.9825,46.9618,167.124,-193
P202,-35.4671,46.2829,154.048,-187
P203,-36.0971,43.2809,144.081,-203
P204,-36.0875,37.9282,135.15,-204
P205,-35.5061,30.4405,127.943,-179
P206,-28.0655,29.6479,170.72,-178
P207,-30.5287,36.3715,159.69,-190
P208,-32.2028,38.8348,149.764,-192
P209,-33.0479,37.3291,139.688,-188
P210,-32.5154,31.1471,131.69,-175
P211,-27.4507,30.3775,170.814,-179
P212,-31.0387,39.1436,161.646,-190
P213,-33.7567,43.8294,152.776,-195
P214,-35.9336,45.2685,142.798,-199
P215,-36.9221,42.5762,132.938,-187
P216,-27.1742,30.9334,170.279,-178
P217,-31.2055,40.3498,161.968,-189
P218,-34.313,45.9023,153.722,-200
P219,-37.1772,48.7381,144.16,-206
P220,-39.4622,48.335,134.049,-208
P221,-28.7303,44.3574,177.269,37
P222,-33.3436,49.1676,165.884,-10000
P223,-36.3645,50.8948,156.043,-10000
P224,-39.0858,50.2932,145.981,-205
P225,-41.5015,47.6049,136.17,-204
P226,-19.3667,41.1274,185.594,30
P227,-27.2401,46.4875,176.518,-10000
P228,-32.1385,48.7707,167.616,-10000
P229,-35.3756,49.0701,157.74,-10000
P230,-36.4246,47.0904,147.611,-10000
P231,-27.633,38.3525,183.218,-157
P232,-34.7377,44.6687,174.136,-177
P233,-39.0773,48.2117,165.321,-187
P234,-42.6241,49.8458,155.646,-180
P235,-45.2059,49.0993,145.59,-201
P236,-30.4212,38.818,178.827,-168
P237,-38.189,46.0791,171.103,-183
P238,-42.8741,50.6615,162.977,-191
P239,-46.7131,53.6759,153.74,-196
P240,-49.3993,54.7864,143.741,-200
P241,-29.4584,46.4665,175.555,-14
P242,-34.3152,47.7637,163.371,-20
P243,-37.707,47.0772,153.481,46
P244,-41.697,45.5965,143.896,62
P245,-46.5991,44.3862,134.713,-203
P246,-20.713,29.2677,163.457,-165
P247,-27.7468,29.1401,152.331,-170
P248,-32.1833,26.7724,143.188,-21
P249,-35.143,22.3048,134.275,-151
P250,-35.9824,15.654,126.357,-156
P251,-8.44303,20.294,145.924,24
P252,-16.5095,26.8104,137.832,-158
P253,-23.3308,29.4824,130.434,-164
P254,-30.0411,28.9006,122.639,-164
P255,-35.9794,23.9131,115.977,-153
P256,-16.0738,18.2831,159.902,-1
P257,-20.5906,26.4997,150.778,-166
P258,-25.2014,29.9845,142.14,-175
P259,-30.7568,30.6047,133.407,-99
P260,-37.7133,28.1831,126.191,-169
P261,-22.4663,16.9758,168.827,1
P262,-24.5532,25.7224,159.423,-176
P263,-27.0586,29.1708,149.984,-183
P264,-30.4704,29.4635,140.192,-190
P265,-35.1654,26.7863,131.364,-181
P266,-31.4996,18.4466,172.134,-174
P267,-32.6774,29.1441,164.674,-187
P268,-33.7456,35.305,156.376,-198
P269,-35.4282,38.5469,146.691,-197
P270,-37.7857,38.055,136.665,-198
P271,-21.733,16.687,162.462,-172
P272,-25.0509,26.5202,154.386,-182
P273,-28.3409,32.0686,146.216,-189
P274,-31.5165,35.0404,136.766,-194
P275,-34.1404,35.2898,126.69,-186
P276,-4.71309,8.75416,139.847,-20
P277,-12.7456,17.2237,133.925,-152
P278,-20.6733,21.2607,128.51,-158
P279,-28.9735,22.6606,122.408,-10000
P280,-36.8894,20.916,115.932,-10000
P281,-1.51176,2.86947,149.551,26
P282,-6.38208,14.3344,145.69,24
P283,-12.8351,20.538,140.594,-166
P284,-20.6772,23.0799,134.396,-174
P285,-28.7177,21.7234,128.068,-10000
P286,-2.54281,0.542523,151.752,27
P287,-6.83415,12.6374,149.363,25
P288,-12.8262,19.7086,144.906,-188
