V           NMSE            SNR

87          0.0876          21.16264
109         0.07872         22.0922
145         0.0737          22.664859
174         0.07338         22.69198
217         0.06984         23.12784
289         0.066779        23.51586
434         0.0671          23.4655
578         0.06298         24.03704
650         0.060739        24.35382
722         0.059139        24.57784
758         0.05896         24.60344
780         0.057119        24.86254
